species,clonality,height,GF,lifespan,cotyledon,latitude,longitude,altitude,SR,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,aridity,NPP,bd,ph,soc,tn
Acacia_abbreviata,0,0.6,W,Perennial,Eudicot,-19.9667,129.7012664,428,22.442,24.9450001716614,15.9230000972748,52.5442207315536,546.520327888526,39.015998840332,8.449999809265135,30.4600009918213,30.3819999694824,17.4713333447774,30.6099996566772,17.4713333447774,453,123,2,101.365279486171,281,20,190,20,0.2034,84.6,1.39999997615814,7.59999990463257,8.69999980926514,0.400000005960464
Acacia_abrupta,0,2,W,Perennial,Eudicot,-24.898608,128.8,537,21.8501666666667,22.385833243529,14.6473330259323,45.6689773137538,633.231511109457,37.4280014038086,5.48400020599365,32.0760006904602,29.4199997584025,16.267999569575,29.423999786377,14.1346668402354,327,61,7,57.2685271313412,138,31,135,42,0.14,101.4,1.39999997615814,7.40000009536743,10.6000003814697,0.5
Acacia_acanthaster,0,0.5,W,Perennial,Eudicot,-32.33127233,119.19241255,334,19.00995833333335,16.917000159621253,12.58699990312255,48.1366704496855,493.516101265311,29.3439998626709,2.9880000352859497,26.135999917984,12.21966656049095,20.413000265757248,22.96366707483925,10.8853331208229,325,46,14,37.2600828058834,128.5,52.5,55,127.5,0.22699999999999998,417.85,1.20000004768372,7.09999990463257,17.6000003814697,0.899999976158142
Acacia_acanthoclada,0,2,W,Perennial,Eudicot,-32.53333333,133.449722,115,18.9378333333333,17.4856666922569,13.1433332562447,46.7534962551061,520.681359857365,30.4680004119873,2.88800001144409,27.8240003585815,13.6200002829234,22.0126667022705,23.5980003674825,11.078666528066,290,35,13,29.3606604952388,94,51,57,84,0.198,242.7,1.20000004768372,7.69999980926514,17.7000007629395,1
Acacia_acellerata,0,0.6,W,Perennial,Eudicot,-34.15625,119.31833334999999,123,18.1784166666667,15.9200001160304,11.2480000654856,56.71587520277575,313.74472626461,25.463999748230002,5.4520001411438,19.804000377655,12.9726668198903,19.5243333975474,19.722000281016,12.0306668281555,521,68,19,35.0980668775499,184,72,83,176,0.4256,799.35,1.15000003576279,6.40000009536743,37.1500015258789,1.5
Acacia_acinacea,0,2.5,W,Perennial,Eudicot,-35.54304,140.76444,196,17.324,15.0744999398788,10.8589998980363,45.6498103746249,439.202391782121,25.7040004730225,2.01999998092651,23.6880006790161,10.54599982500075,19.8993337949117,20.35233290990195,9.56133345762889,568,74,21,37.6516446704482,205,80,82,195,0.4621,607.8,1.10000002384186,6.19999980926514,50.9000015258789,2.59999990463257
Acacia_aciphylla,0,1.5,W,Perennial,Eudicot,-28,115.0616667,190,20.51825,20.1968333323797,13.1370000839233,48.5475366843889,458.354026782133,32.5320014953613,6.61599969863892,25.9639983177185,15.9759999116262,23.4646662076314,26.1539996465047,14.5726665655772,370,73,5,82.0623406076001,205,23,40,192,0.2441,328.3,1.29999995231628,6.40000009536743,15.90000009536745,1.0500000119209298
Acacia_acoma,0,2.5,W,Perennial,Eudicot,-32.47061345,120.62291644999999,362.5,18.94133333333335,16.5896666049957,12.843833605448399,48.34971993639735,496.12863744974595,29.4439992904663,2.597999930381775,26.86799943447115,11.37666682402295,21.9766667683919,22.84266662597655,10.5420001943906,300,38,12,35.45924201311855,112,45.5,46,109,0.24730000000000002,372.70000000000005,1.20000004768372,6.80000019073486,23.3000001907349,1
Acacia_acradenia,0,7.5,W,Perennial,Eudicot,-20.076815,130.0747111,353.5,22.21975,25.8071667750676,14.3374999165535,52.7334066244172,465.22801072879497,38.0340003967285,10.960000038147,27.191999435424798,29.7993332544963,19.863999843597398,30.5179999669393,19.40633344650265,507,127,2,105.22223367763701,312,11,264,15,0.2445,101.69999999999999,1.39999997615814,6.90000009536743,9.10000038146973,0.600000023841858
Acacia_acrionastes,0,8,W,Perennial,Eudicot,-28.2234,152.68439999999998,303,17.98,18.39208336671195,12.0269999504089,50.36265442343265,414.781750052274,29.3920001983643,6.22399997711182,23.1680002212524,22.917666753133098,13.17133315404255,22.917666753133098,12.9240000247955,980,141,31,48.1910199572014,412,119,412,121,0.7735,1573.65,1.10000002384186,5.80000019073486,53.7999992370605,4.09999990463257
Acacia_acuaria,0,1.5,W,Perennial,Eudicot,-29.84752531,116.90061425,328,20.2290833333333,19.5188332597415,13.0086667140325,45.5600614330892,568.3229103434126,32.8680000305176,4.21600008010864,28.7799987792969,13.622000058492,23.17366671562195,26.48066663742065,12.5,325.5,51,10,50.75759616792945,141,37,47,135,0.20725,273.95000000000005,1.20000004768372,6.5,14.1000003814697,0.699999988079071
Acacia_aculeatissima,0,0.5,W,Perennial,Eudicot,-37.3,145.2,385,15.8903333333333,12.7748333265384,9.54033331076304,45.3132591990147,404.300681093834,22.5520000457764,1.32799994945526,20.8840001821518,10.2213332454363,17.3513333002726,17.8866664568583,7.7026665310065,888,95,47,20.2790482958628,254,159,164,232,0.8508,1367.9,0.899999976158142,5.5,81.3000030517578,3.40000009536743
Acacia_aculeiformis,1,NA,W,Perennial,Eudicot,-29.53,115.7667,293,20.0488333333333,19.4825001358986,13.1616667509079,46.9981200577114,553.36068182645,32.5400009155273,4.62799978256226,27.9040007591248,14.3933336734772,24.0786670049032,26.3539997736613,13.0213334560394,392,70,10,67.3043956175477,194,33,46,191,0.2583,371.7,1.20000004768372,6.30000019073486,11.8999996185303,0.800000011920929
Acacia_acuminata,0,12,W,Perennial,Eudicot,-30.95,119.5465413,353.5,19.88254166666665,17.9971666087707,12.772666513919852,45.975424905165696,546.1012372675325,31.3100004196167,3.376000046730045,27.808000564575202,12.1669997970263,21.4146661758423,24.909666856129952,11.27199989557265,295,44,11.5,41.227852667381796,112.5,41,54,106,0.1962,279.45000000000005,1.20000004768372,7.09999990463257,20.399999618530252,0.899999976158142
Acacia_acutata,0,0.5,W,Perennial,Eudicot,-32.540000000000006,118.90069445,351,19.0775,16.3986667742332,12.60099990169205,47.3788426488127,489.396138618643,28.9399995803833,3.019999980926515,26.6399999856949,11.7273332476616,21.5446664492289,22.44666695594785,10.76033316055935,349.5,48,12,40.9076853640592,136,49.5,51,136,0.24075000000000002,334.04999999999995,1.20000004768372,6.59999990463257,17.9000005722046,0.899999976158142
Acacia_adenogonia,0,2,W,Perennial,Eudicot,-15.491666665,125.5905389,83,22.048000000000002,27.3599999745687,13.2890621026357,62.5776018218264,239.315702949952,36.3420009613037,15.6461248397827,21.0062494277954,28.7733332316081,24.1427083015442,29.494588375091553,23.9533332188924,1112.5,305,1,121.599524591963,802,11,395,13.5,0.6183,334.5,1.39999997615814,6.40000009536743,14.8999996185303,1.0000000298023246
Acacia_adinophylla,0,1.5,W,Perennial,Eudicot,-30.4,119.6,451,20.1573333333333,18.5373331904411,12.9786662658056,44.3563465834317,596.259638428537,32.3919982910156,3.13199996948242,29.2599983215332,12.1500000158946,21.4706665674845,25.8559993108114,11.1593334674835,248,40,9,38.6818862913581,95,35,50,85,0.1811,239.3,1.20000004768372,7.30000019073486,19,0.899999976158142
Acacia_adnata,0,NA,W,Perennial,Eudicot,-28.968333,115.075833,235,19.9294166666667,19.4086668093999,12.4653332233429,49.0143634440654,474.271055708981,31.4120006561279,5.98000001907349,25.4320006370544,15.1346668402354,22.8599999745687,25.3973331451416,13.7720001538595,463,93,6,82.3316716405336,253,26,39,251,0.3015,443.1,1.29999995231628,6.19999980926514,14.8000001907349,0.800000011920929
Acacia_adoxa,0,0.7,W,Perennial,Eudicot,-19.565266,126.2347222,377,22.4193333333333,25.8243333101273,15.0390001138051,52.8452278496547,493.96532911557,38.8199996948242,10.423999786377,28.8799991607666,30.2866665522257,22.7073332468669,30.8946669896444,19.2193333307902,460,125,2,109.773684427927,297,11,227,19,0.2101,88.5,1.39999997615814,7.19999980926514,9.10000038146973,0.600000023841858
Acacia_adsurgens,0,4,W,Perennial,Eudicot,-21.46897,133.41792025,387,22.2695416666667,24.6831666032473,14.8500000635783,49.6156960341294,552.865424042607,38.2000007629395,8.378000259399414,30.0239996910095,30.198333422342948,18.229999939600653,30.44800011316935,17.23366681734725,375.5,91,3,90.33277894823,218,16,205.5,20,0.1856,93.4,1.39999997615814,7.30000019073486,9,0.5
Acacia_adunca,0,6,W,Perennial,Eudicot,-28.84008,151.92804999999998,966,17.6805,14.2723333736261,11.270333468914,47.0695498552058,465.161962232323,25.5400009155273,1.7619999647140498,23.9440009593964,19.5300002098083,8.195333381493885,19.544999996821048,8.12066662311554,868,113,40.5,35.2125967593472,325,139,325,142,0.7076,826.7,1.10000002384186,5.80000019073486,44.2999992370605,2.90000009536743
Acacia_aemula,0,0.4,W,Perennial,Eudicot,-33.95,120.15,128,18.0474166666667,16.1755556662877,10.8153331279755,54.6098020601457,336.23838415746,25.2999992370605,4.7039999961853,20.0000004768372,12.3520003159841,19.6493333180745,20.0500001907349,11.7740003267924,527,70,19,42.0698150185182,194,63,74,193,0.4264,904,1.20000004768372,6.40000009536743,43.4000015258789,1.89999997615814
Acacia_aestivalis,0,3,W,Perennial,Eudicot,-30.876184795,117.3089258,292.5,20.044958333333298,18.6983333826065,12.9745002488295,46.1304805456011,548.8300712920535,31.89599990844725,3.954000115394595,27.96999979019165,13.11266658703485,23.742333173751803,25.50899998346965,12.125333428382849,347.5,59.5,11,51.58068069724105,166,39,46,157,0.22785,330.05,1.20000004768372,6.59999990463257,14.3000001907349,0.800000011920929
Acacia_alata,0,2,W,Perennial,Eudicot,-32.376351375,116.07062055,164.5,19.81225,16.58300000429155,10.7809997002284,49.1545621769474,422.80131703054053,27.3779993057251,6.0479998588562,22.05661511421205,12.3499999046326,21.8836668332418,22.240000089009598,12.3291664918264,866,150.5,12,80.41332305005474,415,50,58.5,406,0.6738,981.3,1.20000004768372,6.19999980926514,56.1000003814697,2.09999990463257
Acacia_alcockii,1,3,W,Perennial,Eudicot,-34.775,135.93916665,36,18.0561666666667,16.030059436957,8.40297615528107,51.0432376940414,289.775670559512,23.9071426391602,7.483809471130375,16.5142855644226,12.5611112912496,19.5179483095805,19.5186409155528,12.4763888518016,443,73,11,59.5948864444425,202,40,40,202,0.4863,936.1,1.10000002384186,6.59999990463257,62.4000015258789,2.20000004768372
Acacia_alexandri,0,3,W,Perennial,Eudicot,-22.1,114,129.5,22.0733333333333,23.8678331772486,11.6196665763855,48.2945363781728,453.969897426757,34.9000015258789,10.6714286804199,24.0600023269653,19.0913332303365,23.0973332722982,29.164667447408,18.0846665700277,283,50,2,70.5500746917881,126,9,109,92,0.1562,298.2,1.29999995231628,7.30000019073486,28.4000005722046,1.5
Acacia_alleniana,0,5,W,Perennial,Eudicot,-14.26426,134.84285999999997,107,21.29783333333335,27.04958323637645,13.29116662343345,61.0597826248354,273.5904767881095,36.9440002441406,15.8999996185303,21.0599994659424,28.9306669235229,23.3053337732951,30.1313330332438,23.0296665827433,1035,254,1,112.945151645523,682,6,371,7,0.5328,252.4,1.39999997615814,6.19999980926514,13.1000003814697,1
Acacia_alpina,0,2,W,Perennial,Eudicot,-36.7167,147.125,1350,15.889,7.9938332301875,7.96066669623057,37.0850865054741,507.038001078401,18.20799922943115,-3.40799999237061,21.9000002145767,3.0280000474304,13.8256668249766,14.1753334999084,2.03066665430864,1419,178,64,25.4815430997068,473,215,216.5,466.5,1.6289,767.4,0.899999976158142,5.30000019073486,113.099998474121,5.59999990463257
Acacia_amanda,0,2,W,Perennial,Eudicot,-13.51528399,132.574,99,21.16425,27.6716666221619,12.5833333333333,65.4427549091477,236.838187550739,36.6440010070801,17.4160003662109,19.2280006408691,28.6826670964559,24.2033335367839,30.2013330459595,24.2033335367839,1325,295,2,108.038141829668,840,10,391,10,0.6752,355.4,1.39999997615814,6.19999980926514,19.1000003814697,1.60000002384186
Acacia_amblygona,0,1,W,Perennial,Eudicot,-27.732855,150.81036110000002,325,18.4096666666667,18.6799999872843,12.6653336683909,48.4738309226506,484.387572118972,31.2719993591309,5.01999998092651,26.0920004844666,24.5266663233439,13.2073334058126,24.5419998168945,12.0259998639425,677,95,28,41.6906711324382,265,99,265,105,0.42535,601.2,1.29999995231628,6.09999990463257,26.8999996185303,1.89999997615814
