species,clonality
Acacia abbreviata,0
Acacia abrupta,0
Acacia acanthaster,0
Acacia acanthoclada,0
Acacia acellerata,0
Acacia acinacea,0
Acacia aciphylla,0
Acacia acoma,0
Acacia acradenia,0
Acacia acrionastes,0
Acacia acuaria,0
Acacia aculeatissima,0
Acacia aculeiformis,1
Acacia acuminata,0
Acacia acutata,0
Acacia adenogonia,0
Acacia adinophylla,0
Acacia adnata,0
Acacia adoxa,0
Acacia adsurgens,0
Acacia adunca,0
Acacia aemula,0
Acacia aestivalis,0
Acacia alata,0
Acacia albizioides,0
Acacia alcockii,1
Acacia alexandri,0
Acacia alleniana,0
Acacia alpina,0
Acacia amanda,0
Acacia amblygona,0
Acacia amblyophylla,0
Acacia amentifera,0
Acacia ammobia,0
Acacia ammophila,0
Acacia amoena,0
Acacia ampliata,0
Acacia ampliceps,0
Acacia amputata,0
Acacia amyctica,0
Acacia anarthros,0
Acacia anasilla,0
Acacia anastema,0
Acacia anaticeps,0
Acacia anceps,0
Acacia ancistrocarpa,0
Acacia ancistrophylla,0
Acacia andrewsii,0
Acacia aneura,0
Acacia anfractuosa,0
Acacia angusta,0
Acacia anomala,0
Acacia anthochaera,0
Acacia aphanoclada,0
Acacia aphylla,0
Acacia applanata,1
Acacia aprepta,0
Acacia aprica,0
Acacia arafurica,0
Acacia araneosa,0
Acacia arbiana,0
Acacia arcuatilis,0
Acacia argutifolia,0
Acacia argyraea,0
Acacia argyrodendron,0
Acacia argyrophylla,0
Acacia argyrotricha,0
Acacia arida,0
Acacia aristulata,0
Acacia armillata,0
Acacia armitii,0
Acacia arrecta,0
Acacia ascendens,0
Acacia asepala,0
Acacia ashbyae,0
Acacia asparagoides,0
Acacia aspera,0
Acacia asperulacea,0
Acacia assimilis,0
Acacia ataxiphylla,0
Acacia atkinsiana,0
Acacia atopa,0
Acacia attenuata,0
Acacia aulacocarpa,0
Acacia aulacophylla,0
Acacia auratiflora,0
Acacia aureocrinita,0
Acacia auricoma,0
Acacia auriculiformis,0
Acacia auripila,0
Acacia auronitens,0
Acacia ausfeldii,0
Acacia awestoniana,0
Acacia axillaris,0
Acacia ayersiana,0
Acacia baeuerlenii,0
Acacia baileyana,0
Acacia bakeri,0
Acacia balsamea,0
Acacia bancroftiorum,0
Acacia barattensis,0
Acacia barbinervis,0
Acacia barringtonensis,0
Acacia basedowii,0
Acacia baueri,1
Acacia baxteri,0
Acacia beauverdiana,0
Acacia beckleri,0
Acacia benthamii,0
Acacia betchei,0
